627770,1013145
627620,1013101
627617,1013036
627793,1013251
627751,1013215
627684,1013183
627962,1012630
627847,1013094
627821,1013332
627708,1013025
627514,1012981
627628,1012932
627802,1012943
627412,1012975
627894,1012913
627751,1012869
628046,1012706
628214,1012488
627635,1012810
627698,1012758
628049,1012605
627857,1012823
627544,1012871
628090,1012782
627840,1013176
627832,1012709
627990,1012889
628175,1012542
627475,1013059
627930,1012771
627604,1013341
627544,1012770
627671,1013421
627605,1013235
627776,1012611
627706,1013317
627381,1013071
627493,1013302
627492,1013212
627792,1013420
627901,1013016
627660,1012677
627875,1013343
627388,1012877
628297,1012409
626936,1013081
627684,1013500
627010,1013079
628337,1012534
628111,1013042
627424,1012662
628275,1012636
627349,1012684
627497,1013366
627839,1013418
627584,1013556
627447,1013568
628389,1012611
628031,1013022
628187,1012695
627385,1013246
627280,1013183
627298,1013520
627227,1013417
628700,1012605
628424,1012578
627513,1013444
627909,1014047
628197,1012905
627797,1012098
627688,1012524
627504,1012241
627193,1013889
626627,1013525
627945,1012434
627249,1012667
627217,1013562
626684,1013740
627589,1012591
627713,1012288
628394,1012439
628369,1013306
628299,1012769
627563,1014070
627129,1013150
627450,1012520
627640,1012120
627376,1012320
627072,1013038
627684,1013972
627558,1013654
627676,1014120
626801,1013859
629371,1012700
627186,1012165
627228,1013026
627448,1014141
627311,1012798
627148,1013260
627228,1013308
628294,1012965
628840,1012624
626695,1012123
626836,1013739
628799,1012263
628350,1012882
629560,1013005
628946,1012694
627252,1013730
627796,1012417
626770,1013425
626600,1013657
627475,1013820
627114,1012228
626780,1013617
628272,1013082
627357,1012522
627600,1012389
627827,1011909
628662,1012470
628675,1012918
627604,1012295
626927,1014654
627825,1012314
628308,1012254
629478,1012783
627392,1012419
628107,1013131
627153,1013752
627308,1013618
627096,1013567
628438,1012915
627321,1012157
629060,1012759
626534,1013693
626782,1014552
626666,1014145
626619,1013447
626654,1012034
627563,1013916
627289,1012387
628465,1012319
628550,1012849
628843,1012460
626730,1014006
628281,1013183
629054,1012653
628028,1012406
628398,1012085
628061,1012300
627168,1012321
628049,1013163
629489,1012853
626859,1014134
628679,1013064
627040,1014477
628732,1012072
626982,1013661
627422,1013740
628775,1011844
628851,1011989
627214,1012516
629194,1012722
626924,1014239
628220,1012173
626942,1014548
629260,1012636
627936,1012320
628921,1011547
628568,1012072
628877,1012989
628544,1013004
627064,1012125
627334,1011976
627813,1014118
629069,1013271
627078,1014585
627882,1012079
627032,1012930
628697,1012766
627627,1013876
626715,1014282
626957,1014334
628843,1011710
627836,1014220
628115,1012373
628530,1012378
628863,1012295
628906,1012832
627784,1013933
628896,1012185
627722,1011845
626847,1014635
626664,1013883
629327,1012916
628580,1012675
628964,1013188
627174,1012046
627061,1013908
626883,1012109
626988,1013936
627955,1012217
627018,1013313
627556,1012058
629240,1012944
627501,1011807
627377,1011801
626750,1014408
626860,1013419
628205,1011965
629052,1012939
626928,1013549
626887,1012203
628077,1011942
629237,1012820
629254,1013132
628429,1012705
